Estado,Tipo_Crime,Ano,Quantidade
PE,Furto,2010,469
AM,Homicídio,2011,217
CE,Violência Doméstica,2014,221
CE,Homicídio,2005,197
SP,Furto,2009,281
RS,Tráfico de Drogas,2012,272
AM,Homicídio,2021,274
SP,Furto,2005,445
CE,Homicídio,2024,316
CE,Tráfico de Drogas,2007,23
CE,Tráfico de Drogas,2002,235
SC,Violência Doméstica,2015,150
PE,Furto,2010,249
SP,Homicídio,2004,73
SP,Violência Doméstica,2005,128
AM,Violência Doméstica,2021,237
RS,Tráfico de Drogas,2020,200
MG,Violência Doméstica,2019,428
AM,Furto,2016,375
PE,Roubo,2023,44
CE,Violência Doméstica,2012,323
SP,Roubo,2001,50
BA,Furto,2000,271
CE,Violência Doméstica,2006,11
SC,Violência Doméstica,2002,498
CE,Violência Doméstica,2012,454
RJ,Violência Doméstica,2023,433
PE,Homicídio,2001,177
CE,Violência Doméstica,2018,419
PE,Roubo,2012,150
PE,Tráfico de Drogas,2022,451
PR,Tráfico de Drogas,2010,332
SP,Furto,2008,98
CE,Furto,2001,492
RJ,Tráfico de Drogas,2006,204
CE,Violência Doméstica,2022,228
PR,Roubo,2016,302
CE,Homicídio,2000,121
SC,Tráfico de Drogas,2020,226
SP,Furto,2002,333
PE,Violência Doméstica,2019,365
BA,Furto,2023,30
RS,Roubo,2023,205
PE,Roubo,2011,240
SC,Furto,2015,394
SC,Tráfico de Drogas,2015,491
PE,Tráfico de Drogas,2007,78
MG,Roubo,2012,368
SP,Roubo,2012,124
PE,Tráfico de Drogas,2009,380
MG,Homicídio,2014,366
BA,Tráfico de Drogas,2012,17
RJ,Homicídio,2015,170
PE,Homicídio,2017,410
AM,Violência Doméstica,2008,64
PR,Violência Doméstica,2024,317
PE,Roubo,2014,309
RJ,Furto,2020,495
PR,Homicídio,2020,325
PR,Homicídio,2006,441
PE,Homicídio,2012,286
CE,Homicídio,2017,338
PR,Homicídio,2003,420
RS,Violência Doméstica,2000,229
MG,Furto,2002,184
MG,Homicídio,2012,467
CE,Homicídio,2009,427
PR,Roubo,2021,23
PR,Tráfico de Drogas,2009,144
SC,Roubo,2005,358
PR,Tráfico de Drogas,2017,272
MG,Tráfico de Drogas,2000,186
PR,Furto,2013,21
BA,Roubo,2011,397
MG,Roubo,2015,315
BA,Violência Doméstica,2016,81
SC,Furto,2023,453
RJ,Furto,2007,99
RS,Roubo,2017,22
RJ,Violência Doméstica,2004,458
PR,Homicídio,2009,414
MG,Tráfico de Drogas,2024,394
