current_name,states,current_agency,action,date,year,pres_or_congress
Devils Tower National Monument,Wyoming,NPS,Established,9/24/06,1906,T. Roosevelt
El Morro National Monument,New Mexico,NPS,Established,12/08/06,1906,T. Roosevelt
El Morro National Monument,New Mexico,NPS,Enlarged,6/18/17,1917,W. Wilson
Montezuma Castle National Monument,Arizona,NPS,Established,12/08/06,1906,T. Roosevelt
Montezuma Castle National Monument,Arizona,NPS,Enlarged,2/23/37,1937,F. D. Roosevelt
Montezuma Castle National Monument,Arizona,NPS,Enlarged,11/10/78,1978,95th Congress
Montezuma Castle National Monument,Arizona,NPS,Deleted,11/10/78,1978,95th Congress
Petrified Forest National Park,Arizona,NPS,Established,12/08/06,1906,T. Roosevelt
Petrified Forest National Park,Arizona,NPS,Diminished,7/31/11,1911,W. Taft
Petrified Forest National Park,Arizona,NPS,Enlarged,11/14/30,1930,H. Hoover
Petrified Forest National Park,Arizona,NPS,Redesignated NP,3/28/58,1958,85th Congress
Petrified Forest National Park,Arizona,NPS,Enlarged,11/30/31,1931,H. Hoover
Petrified Forest National Park,Arizona,NPS,Enlarged,9/23/32,1932,H. Hoover
Chaco Culture National Historical Park,New Mexico,NPS,Established,03/11/07,1907,T. Roosevelt
Chaco Culture National Historical Park,New Mexico,NPS,Enlarged,01/10/28,1928,C. Coolidge
Chaco Culture National Historical Park,New Mexico,NPS,Redesignated Chaco Culture NHP,12/19/80,1980,96th Congress
Lassen Volcanic National Park,California,NPS,Established,05/06/07,1907,T. Roosevelt
Lassen Volcanic National Park,California,NPS,Incorporated into Lassen Volcanic NP,08/09/16,1916,64th Congress
Lassen Volcanic National Park,California,NPS,Established,05/06/07,1907,T. Roosevelt
Lassen Volcanic National Park,California,NPS,Redesignated Lassen Volcanic NP,08/09/16,1916,64th Congress
Gila Cliff Dwellings National Monument,New Mexico,NPS,Established,11/16/07,1907,T. Roosevelt
Gila Cliff Dwellings National Monument,New Mexico,NPS,Enlarged,4/17/62,1962,J. Kennedy
Tonto National Monument,Arizona,NPS,Established,12/19/07,1907,T. Roosevelt
Tonto National Monument,Arizona,NPS,Enlarged,04/01/37,1937,F. D. Roosevelt
Muir Woods National Monument,California,NPS,Established,01/09/08,1908,T. Roosevelt
Muir Woods National Monument,California,NPS,Enlarged,9/22/21,1921,W. Harding
Muir Woods National Monument,California,NPS,Enlarged,04/05/35,1935,F. D. Roosevelt
Muir Woods National Monument,California,NPS,Enlarged,6/26/51,1951,H. Truman
Muir Woods National Monument,California,NPS,Enlarged,09/08/59,1959,D. Eisenhower
Grand Canyon National Park,Arizona,NPS,Established,01/11/08,1908,T. Roosevelt
Grand Canyon National Park,Arizona,NPS,Redesignated Grand Canyon NP,2/26/19,1919,65th Congress
Pinnacles National Park,California,NPS,Established,1/16/08,1908,T. Roosevelt
Pinnacles National Park,California,NPS,Enlarged,05/07/23,1923,W. Harding
Pinnacles National Park,California,NPS,Enlarged,07/02/24,1924,C. Coolidge
Pinnacles National Park,California,NPS,Enlarged,4/13/31,1931,H. Hoover
Pinnacles National Park,California,NPS,Enlarged,07/11/33,1933,F. D. Roosevelt
Pinnacles National Park,California,NPS,Enlarged,12/05/41,1941,F. D. Roosevelt
Pinnacles National Park,California,NPS,Enlarged,01/11/00,2000,W. Clinton
Pinnacles National Park,California,NPS,Redesignated NP,01/10/13,2013,112th Congress
Jewel Cave National Monument,South Dakota,NPS,Established,02/07/08,1908,T. Roosevelt
Natural Bridges National Monument,Utah,NPS,Established,4/16/08,1908,T. Roosevelt
Natural Bridges National Monument,Utah,NPS,Enlarged,9/25/09,1909,W. Taft
Natural Bridges National Monument,Utah,NPS,Boundaries Confirmed,02/11/16,1916,W. Wilson
Natural Bridges National Monument,Utah,NPS,Enlarged,8/14/62,1962,J. Kennedy
Natural Bridges National Monument,Utah,NPS,Diminished,,,
Lewis and Clark Caverns State Park,Montana,State of Montana,Established,05/11/08,1908,T. Roosevelt
Lewis and Clark Caverns State Park,Montana,State of Montana,Boundaries Confirmed,5/16/11,1911,W. Taft
Lewis and Clark Caverns State Park,Montana,State of Montana,"Transferred to MT, now a state park",8/24/37,1937,75th Congress
Tumacacori National Historical Park,Arizona,NPS,Established,9/15/08,1908,T. Roosevelt
Tumacacori National Historical Park,Arizona,NPS,Enlarged,3/28/58,1958,D. Eisenhower
Tumacacori National Historical Park,Arizona,NPS,Enlarged,11/10/78,1978,95th Congress
Tumacacori National Historical Park,Arizona,NPS,Deleted,11/10/78,1978,95th Congress
Tumacacori National Historical Park,Arizona,NPS,Redesignated NHP,08/06/90,1990,101st Congress
Part of Rio Grande National Forest,Colorado,BLM,Established,12/07/08,1908,T. Roosevelt
Part of Rio Grande National Forest,Colorado,BLM,"Transferred to BLM, part of Rio Grande National Forest",08/03/50,1950,81st Congress
Olympic National Park,Washington,NPS,Established,03/02/09,1909,T. Roosevelt
Olympic National Park,Washington,NPS,Diminished,4/17/12,1912,W. Taft
Olympic National Park,Washington,NPS,Diminished,05/11/15,1915,W. Wilson
Olympic National Park,Washington,NPS,Diminished,01/07/29,1929,C. Coolidge
Olympic National Park,Washington,NPS,Redesignated NP,6/29/38,1938,75th Congress
Navajo National Monument,Arizona,NPS,Established,3/20/09,1909,W. Taft
Navajo National Monument,Arizona,NPS,Diminished,3/14/12,1912,W. Taft
Oregon Caves National Monument and Preserve,Oregon,NPS,Established,07/12/09,1909,W. Taft
Oregon Caves National Monument and Preserve,Oregon,NPS,Enlarged,11/10/78,1978,95th Congress
Oregon Caves National Monument and Preserve,Oregon,NPS,Redesignated NMP,12/19/14,2014,113th Congress
Zion National Park,Utah,NPS,Established,7/31/09,1909,W. Taft
Zion National Park,Utah,NPS,Enlarged & Renamed,3/18/18,1918,W. Wilson
Zion National Park,Utah,NPS,Redesignated NP,11/19/19,1919,66th Congress
Spirit Mountain Cave,Wyoming,BLM,Established,9/21/09,1909,W. Taft
Spirit Mountain Cave,Wyoming,BLM,Transferred to WY,5/17/54,1954,83d Congress
Salinas Pueblo Missions National Monument,New Mexico,NPS,Established,11/01/09,1909,W. Taft
Salinas Pueblo Missions National Monument,New Mexico,NPS,Enlarged,11/25/19,1919,W. Wilson
Salinas Pueblo Missions National Monument,New Mexico,NPS,"Abolished, funds available to Salinas NM",12/19/80,1980,96th Congress
Salinas Pueblo Missions National Monument,New Mexico,NPS,Redesignated Salinas Pueblo Missions NM,10/28/88,1988,
Sitka National Historical Park,Alaska,NPS,Established,3/23/10,1910,W. Taft
Sitka National Historical Park,Alaska,NPS,Resurveyed & Enlarged,2/25/52,1952,H. Truman
Sitka National Historical Park,Alaska,NPS,Redesignated NHP,10/18/72,1972,92d Congress
Sitka National Historical Park,Alaska,NPS,Deleted,7/30/83,1983,96th Congress
Rainbow Bridge National Monument,Utah,NPS,Established,5/30/10,1910,W. Taft
Big Hole National Battlefield,Montana,NPS,Established,6/23/10,1910,W. Taft
Big Hole National Battlefield,Montana,NPS,Enlarged,6/29/39,1939,F. D. Roosevelt
Big Hole National Battlefield,Montana,NPS,Redesignated NB,5/17/63,1963,88th Congress
Colorado National Monument,Colorado,NPS,Established,5/24/11,1911,W. Taft
Colorado National Monument,Colorado,NPS,Enlarged,03/03/33,1933,H. Hoover
Colorado National Monument,Colorado,NPS,Diminished,08/07/59,1959,D. Eisenhower
Colorado National Monument,Colorado,NPS,Enlarged,,,
Devils Postpile National Monument,California,NPS,Established,07/06/11,1911,W. Taft
Cabrillo National Monument,California,NPS,Established,10/14/13,1913,W. Wilson
Cabrillo National Monument,California,NPS,Enlarged,02/02/59,1959,D. Eisenhower
Cabrillo National Monument,California,NPS,Enlarged,9/28/74,1974,G. Ford
Papago Park,Arizona,State of Arizona,Established,1/31/14,1914,W. Wilson
Papago Park,Arizona,State of Arizona,"Transferred to AZ, now Papago Park",04/07/30,1930,71st Congress
Dinosaur National Monument,"Utah, Colorado",NPS,Established,10/04/15,1915,W. Wilson
Dinosaur National Monument,"Utah, Colorado",NPS,Enlarged,7/14/38,1938,F. D. Roosevelt
Walnut Canyon National Monument,Arizona,NPS,Established,11/30/15,1915,W. Wilson
Walnut Canyon National Monument,Arizona,NPS,Enlarged,9/24/38,1938,F. D. Roosevelt
Bandelier National Monument,New Mexico,NPS,Established,02/11/16,1916,W. Wilson
Bandelier National Monument,New Mexico,NPS,Enlarged,2/15/32,1932,H. Hoover
Bandelier National Monument,New Mexico,NPS,Enlarged,01/09/61,1961,D. Eisenhower
Bandelier National Monument,New Mexico,NPS,Enlarged,5/27/63,1963,J. Kennedy
Bandelier National Monument,New Mexico,NPS,Diminished,,,
Acadia National Park,Maine,NPS,Established,07/08/16,1916,W. Wilson
Acadia National Park,Maine,NPS,Redesignated Lafayette NP,2/26/19,1919,65th Congress
Acadia National Park,Maine,NPS,Redesignated Acadia NP,13/04/05,,
Capulin Volcano National Monument,New Mexico,NPS,Established,08/09/16,1916,W. Wilson
Capulin Volcano National Monument,New Mexico,NPS,Redesignated Capulin Volcano NM,03/03/33,1933,H. Hoover
Part of Tongass National Forest,Alaska,USFS,Established,10/25/16,1916,W. Wilson
Part of Tongass National Forest,Alaska,USFS,Transferred to Forest Service,7/26/55,1955,84th Congress
Crow Flies High Overlook,North Dakota,State of North Dakota,Established,6/29/17,1917,W. Wilson
Crow Flies High Overlook,North Dakota,State of North Dakota,Transferred to ND,7/30/56,1956,84th Congress
Casa Grande Ruins National Monument,Arizona,NPS,Established,08/03/18,1918,W. Wilson
Katmai National Park and Preserve,Alaska,NPS,Established,9/24/18,1918,W. Wilson
Katmai National Park and Preserve,Alaska,NPS,Enlarged,4/24/31,1931,H. Hoover
Katmai National Park and Preserve,Alaska,NPS,Restrictions Modified.,6/15/36,1936,F. D. Roosevelt
